image_path,label
datasets/train\subject-1\fall\1_backward_falls\frame001.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame002.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame003.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame004.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame005.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame006.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame007.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame008.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame009.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame010.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame011.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame012.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame013.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame014.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame015.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame016.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame017.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame018.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame019.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame020.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame021.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame022.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame023.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame024.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame025.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame026.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame027.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame028.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame029.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame030.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame031.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame032.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame033.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame034.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame035.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame036.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame037.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame038.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame039.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame040.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame041.jpg,1
datasets/train\subject-1\fall\1_backward_falls\frame042.jpg,1
datasets/train\subject-1\fall\1_forward_falls\frame001.jpg,1
datasets/train\subject-1\fall\1_forward_falls\frame002.jpg,1
datasets/train\subject-1\fall\1_forward_falls\frame003.jpg,1
datasets/train\subject-1\fall\1_forward_falls\frame004.jpg,1
datasets/train\subject-1\fall\1_forward_falls\frame005.jpg,1
datasets/train\subject-1\fall\1_forward_falls\frame006.jpg,1
datasets/train\subject-1\fall\1_forward_falls\frame007.jpg,1
datasets/train\subject-1\fall\1_forward_falls\frame008.jpg,1
datasets/train\subject-1\fall\1_forward_falls\frame009.jpg,1
datasets/train\subject-1\fall\1_forward_falls\frame010.jpg,1
datasets/train\subject-1\fall\1_forward_falls\frame011.jpg,1
datasets/train\subject-1\fall\1_forward_falls\frame012.jpg,1
datasets/train\subject-1\fall\1_forward_falls\frame013.jpg,1
datasets/train\subject-1\fall\1_forward_falls\frame014.jpg,1
datasets/train\subject-1\fall\1_forward_falls\frame015.jpg,1
datasets/train\subject-1\fall\1_forward_falls\frame016.jpg,1
datasets/train\subject-1\fall\1_forward_falls\frame017.jpg,1
datasets/train\subject-1\fall\1_forward_falls\frame018.jpg,1
